Question_title,Question_body,Question_answer_count,Question_comment_count,Question_creation_date,Question_favorite_count,Question_last_edit_date,Question_score,Question_tags,Question_view_count,Owner_creation_date,Owner_last_access_date,Owner_location,Owner_reputation,Owner_up_votes,Owner_down_votes,Owner_views,Answer_body,Answer_comment_count,Answer_creation_date,Answer_last_edit_date,Answer_score,Question_valid_tags
Why do you use Git over Mercurial? (Or vice versa.),"<p>I currently use Git, and am generally happy with it, but I'd like to know more about Mercurial.  Does it have any advantages over Git?  What are the advantages of Git over Mercurial?</p>

<p>I realize there are already detailed comparisons of the two, but that's not what I'm asking for.  I don't want dispassionate information, but rather impassioned (but polite!!!) reasons why you think one is better/easier/faster/smarter/stronger/etc.  </p>",11,3,2010-11-28 22:13:13.270000 UTC,3.0,,27,git|mercurial|dvcs,5887,2009-12-30 20:07:02.193000 UTC,2022-03-05 23:31:04.920000 UTC,"Grand Rapids, MI, United States",19010,1528,131,1945,"<p>(A) Top 3 <em>real</em> reasons I use Git rather than Mercurial by choice:</p>

<ol>
<li>historical stochasticity / inertia</li>
<li>historical stochasticity / inertia</li>
<li>historical stochasticity / inertia</li>
</ol>

<p>(B) Given the above, the top 3 things I like about Git over Mercurial:</p>

<ol>
<li>the index</li>
<li>lightweight branches</li>
<li>sane tagging (a tag is not a commit that follows the commit that is being tagged)</li>
</ol>

<p>(C) The three things Mercurial has for it over Git:</p>

<ol>
<li>better <em>native</em> documentation (emphasis on <em>native</em>, because the <a href=""http://git-scm.com/book"">ProGit book</a> is simply outstanding, and anyone who has any complaints about Git or the Git model being too complex or confusing should go directly there)</li>
<li>sequential commit numbering (local repository scope only, but I imagine this might sometimes be more convenient than cutting-and-pasting SHA-1's when fiddling about?)</li>
<li>nicer logo/name?</li>
</ol>

<p>I think that all (most?) of the items in (B) are either a result of me being used to the Git model due to (A) or can be ""fixed"" in Mercurial through plug-ins. But the fact remains that Git works the way I want it to out of the box, and I can live without any of the (C) items [given that C(1) is rendered a non-issue due to the excellent ProGit book]. And, so, I continue to use Git over Mercurial.</p>",4.0,2010-11-29 17:05:36.920000 UTC,2012-05-12 11:00:17.347000 UTC,15.0,[]
Is using a central repository going against GIT's purpose?,"<p>If you are in a <em>corporate</em> setting with many people working on a particular application, is it going against the grain of a <a href=""http://en.wikipedia.org/wiki/Distributed_revision_control"" rel=""noreferrer"">distributed version control</a> system to have an official central repository?</p>

<p>Sometimes I struggle to understand the concept of a distributed version control system such as <a href=""http://git-scm.com/"" rel=""noreferrer"">GIT</a> in a corporate environment.  If you didn't have a central repository, wouldn't it be a PITA to figure out who had the latest updated version to pull from, who has feature x or bug fix y that everyone needs to grab, etc, etc.</p>

<p>Is it defeating the purpose of <a href=""http://git-scm.com/"" rel=""noreferrer"">GIT</a> to use it in a similar fashion to <a href=""http://subversion.tigris.org/"" rel=""noreferrer"">SVN</a>, with a central repository that everyone pushes/pulls from?  Every time I think about doing that I feel like I'm missing the point of everything.</p>

<p>Could someone enlighten me?</p>",7,0,2009-01-20 08:49:22.967000 UTC,9.0,2009-01-20 18:41:25.783000 UTC,33,svn|git|dvcs,5400,2008-08-23 19:46:51.740000 UTC,2021-06-21 14:19:48.533000 UTC,United States,88329,1748,576,7706,"<p>Not really. DCVS just allows more freedom in how to interact between developers without involving the central repository. The official repository is only official <strong>by consensus</strong>. Linux also has a central repository, the one from which the ""official"" kernel-releases are created, but there is no physical difference between the central, ""official"", repository and client repositories as it is in centralized VCS.</p>",1.0,2009-01-20 08:55:16.310000 UTC,,29.0,[]
Moving from Visual Sourcesafe to Mercurial,<p>What's the best way to move a Visual Sourcesafe repository to Mercurial (I'm interested in retaining all history)?</p>,6,0,2009-06-07 13:22:01.850000 UTC,11.0,2012-03-30 12:24:27.683000 UTC,19,mercurial|migration|dvcs|visual-sourcesafe,5105,2009-06-05 14:56:54.277000 UTC,2018-10-29 19:11:13.397000 UTC,"Denver, CO",5351,341,2,414,"<p>While I haven't made that particular conversion, I have gone from VSS to SVN using (IIRC) <a href=""http://www.pumacode.org/projects/vss2svn"" rel=""noreferrer"">this script</a>.  You'll probably want to look into tailor and do a search for vss2hg.  Also keep in mind that it may make sense to go through an intermediate step like vss2svn + svn2hg or similar.</p>

<p>The primary bit of advice I'd give though is: script the conversion so you can re-run it easily.  That will let you run nightly conversions from VSS to Hg and make sure that everything is converting correctly before you pull the trigger on it.</p>",0.0,2009-06-07 13:53:26.763000 UTC,,14.0,[]
Is a DVCS useful for one developer?,"<p>Or would a conventional client-server VCS be more appropriate? I'm currently using TortoiseSVN, but I'm interested in a DVCS, but I'm not sure if it's even a good idea to try to use something like that solo.</p>",6,0,2008-10-07 15:53:48.963000 UTC,5.0,2011-12-09 19:03:35.160000 UTC,16,version-control|dvcs,1016,2008-08-06 20:56:54.547000 UTC,2022-03-03 14:53:21.437000 UTC,"Cambridge, MA, United States",110624,2947,204,15263,"<p>Since you can still push to another machine also running Git/Mercurial/Bzr/etc you still have the multi-computer backup safety, which you'd hopefully have either way.  However if you ever code while traveling, having full repository access can be a huge plus, then just resync to your server when you have a net connection again/get home/etc.</p>",1.0,2008-10-07 15:56:30.487000 UTC,,15.0,[]
Can Mercurial repositories be nested?,"<p>What happens if there is already a Mercurial repository at</p>

<pre><code>/User/peter/development
</code></pre>

<p>and now I want to add a repository for</p>

<pre><code>/User/peter
</code></pre>

<p>because I also want to version <code>.bashrc</code>, <code>.profile</code>, or maybe <code>/User/peter/notes</code> as well.  Will having a repository above an already existing repository create conflicts for Mercurial?</p>",2,0,2010-08-30 21:12:26.233000 UTC,2.0,2010-08-31 20:14:09.243000 UTC,11,mercurial|dvcs,1129,2009-05-09 15:50:29.477000 UTC,2022-03-04 09:41:10.460000 UTC,,137341,1445,39,12817,"<p>Everything will be okay.</p>

<p>It seems that Mercurial is smart enough to ignore subdirectories which already have repositories in them. Here's a conversation with it:</p>

<pre><code>$ mkdir outer
$ mkdir outer/inner
$ mkdir outer/sub
$ echo red &gt;outer/red.txt
$ echo blue &gt;outer/inner/blue.txt
$ echo green &gt;outer/sub/green.txt
$ cd outer/inner/
$ hg init
$ hg add
adding blue.txt
$ hg commit -m ""create inner""
$ cd ..
$ hg init
$ hg add
adding red.txt
adding sub/green.txt
$ hg commit -m ""create outer""
$ hg status
A red.txt
A sub/green.txt
$ hg commit -m ""create outer""
</code></pre>

<p>As you can see, when i add to the outer repository, it ignores the inner directory.</p>

<p>If you wanted to be extra sure, you could add the inner directory to your <code>.hgignore</code>.</p>",3.0,2010-08-30 21:44:19.780000 UTC,,10.0,[]
"Can GIT, Mercurial, SVN, or other version control tools work well when project tree has binary files?","<p>Sometimes our project tree can have binary files, such as jpg, png, doc, xls, or pdf.  Can GIT, Mercurial, SVN, or other tools do a good job when only part of a binary file is changed?</p>
<p>For example, if the spec is written in .doc and it is part of the repository, then if it is 4MB, and edited 100 times but just for 1 or 2 lines, and checked in 100 times during the year, then it is 400MB.</p>
<p>If it is 100 different .doc and .xls files, then it is 40GB... not a size that is easy to manage.</p>
<p>I have tried GIT and Mercurial and see that they both seem to add a big size of data even when 1 line is changed in a .doc or .pdf.  Is there other way inside of GIT or Mercurial or SVN that can do the job?</p>
<p>P.S. I tried Dropbox and I could have a 7MB file, and then I highlight a couple of places in the .PDF file, and Dropbox seemed to be able to upload the change in 1 second. My uplink is only about 200kb/s, so I think Dropbox did a pretty good job diff'ing my file. So we can use Dropbox, except there is no version control this way.</p>",5,0,2010-06-06 08:57:51.260000 UTC,1.0,2021-01-30 06:54:10.690000 UTC,10,svn|git|mercurial|dvcs|binaryfiles,6191,2009-05-09 15:50:29.477000 UTC,2022-03-04 09:41:10.460000 UTC,,137341,1445,39,12817,"<p>In general, version control systems work better with text files.  The whole merge/conflict concept is really based around source code.  However, SVN works pretty well for binary files. (We use it to version CAD drawings.)</p>

<p>I will point out that the file locking (svn:needs-lock) are pretty much a must-have when there are multiple people working on a common binary file.  Without file locking, it is possible for 2 people to work on a binary file at once.  Someone commits their changes first.  Guess what happens to the person that didn't commit.  All of that binary/unmergable work they did is effectively lost.  File-locking serializes work on the file.  You do lose the ""concurrent"" access capabilities of a version control system, but you still have the benefits of a commit log, rolling back to a previous version, etc.</p>

<p>The TortoieSVN client is smart enough to use MS Word's built in merge tool to diff a doc/docx file.  It also has configuration options to let you specify alternate diff tools based on file extension, which is pretty cool.  (It's a shame no one has made a diff tool for our CAD package).</p>

<p>Current-generation DVCSes like Git or Hg tend to suck with binary files though.  They don't have any sort of mechanism for file locking.</p>",0.0,2010-06-06 18:05:24.673000 UTC,2010-06-07 13:11:30.173000 UTC,13.0,[]
commit-pull-merge-push or pull-merge-commit-push?,"<p>We started using Mercurial a several weeks ago. Most developers follow this workflow:</p>

<ul>
<li>work on a feature</li>
<li>commit -m ""Worked on feature ABC""</li>
<li>pull -u</li>
<li>If branch

<ul>
<li>merge</li>
<li>commit -m ""Merge""</li>
<li>push</li>
</ul></li>
</ul>

<p>Today, one of our developer suggested that we do:</p>

<ul>
<li>work on a feature</li>
<li>pull -u</li>
<li>if branch

<ul>
<li>merge</li>
</ul></li>
<li>commit -m ""Worked on feature ABC""</li>
<li>push</li>
</ul>

<p>That way, we have a lot less ""Merge"" changesets in the log.</p>

<p>Some of us think it's just a matter preference. Some of us think one is better than the other. We don't have much experience and don't want to live the downsides of misusing the tool. So if one approach is more advisable then the other, please let me know why.</p>",3,1,2010-07-13 20:04:50.793000 UTC,13.0,2010-07-13 20:17:33.837000 UTC,25,mercurial|dvcs,14599,2009-05-06 15:46:26.067000 UTC,2022-02-17 21:52:55.770000 UTC,Canada,18831,342,15,1235,"<p>I like your original procedure more, but reasonable people can certainly disagree.  I consider merging an actual piece of software development work and like having it be a first class citizen in our process.</p>

<p>In your second/suggested procedure the risk is that the pull does some stuff you really don't want and then you have a very hard time separating it from the work you've already done.</p>

<p>For people who just can't stand branchy history the usual preferred workflow is:</p>

<ul>
<li>work on a feature</li>
<li>commit</li>
<li>pull --rebase</li>
<li>push</li>
</ul>

<p>where the <code>--rebase</code> option appears on pull after you enable the <a href=""https://www.mercurial-scm.org/wiki/RebaseExtension"" rel=""nofollow noreferrer"">rebase extension</a>.  I'm not a fan of rebase because it's technically rewriting history which is antithetical to how mercurial is supposed to work, but I'm in a rapidly shrinking minority on that point.</p>

<p>Bottom line, if you really don't want a branchy history use rebase -- don't update into uncommitted changes as it's hard to undo.</p>",1.0,2010-07-13 20:21:48.463000 UTC,2018-02-22 10:48:16.757000 UTC,21.0,[]
Plotting arbitrary data for repository,"<p>I'm looking for a way to visualize arbitrary information about my repository over time, which might be some version-dependent number, such as:</p>

<ul>
<li>lines of code</li>
<li>number of lines in a latex document</li>
<li>time between commits</li>
<li>anything that can be output by a script</li>
</ul>

<p>What is the best way to visualize this information?</p>

<p>More specifically, I'm using mercurial and would ideally like something with a decent interface, with plot resizing/scrolling/etc...  Jenkins' plot plugin is decent but not great, but more importantly it's not possible to visualize <strong>past</strong> data (say, after adding a new metric).</p>",1,1,2012-09-19 17:31:52.933000 UTC,1.0,2012-09-19 18:20:26.353000 UTC,7,version-control|jenkins|dvcs,343,2010-01-22 14:34:29.733000 UTC,2022-02-09 01:51:55.040000 UTC,"Lausanne, Switzerland",1804,483,1,115,"<p>I would suggest to split your task to simplify everything a little bit. It is likely you will need several different tools in order to collect and visualize all required information. Historical view seems to be another big challenge.</p>

<p><strong>Lines of code</strong></p>

<p>There are several plugins available for Jenkins, but almost all are highly specialized. <a href=""https://wiki.jenkins-ci.org/display/JENKINS/SLOCCount+Plugin"" rel=""noreferrer"">SLOCCount plug-in</a> seems to be most universal, but it does not provide any graphical output.</p>

<p><img src=""https://i.stack.imgur.com/eQwF5.png"" alt=""enter image description here""></p>

<ul>
<li><a href=""https://wiki.jenkins-ci.org/display/JENKINS/NSIQ+Collector+Plugin"" rel=""noreferrer"">NSIQ Collector Plugin</a></li>
<li><a href=""https://wiki.jenkins-ci.org/display/JENKINS/SLOCCount+Plugin"" rel=""noreferrer"">SLOCCount plug-in</a></li>
<li><a href=""https://wiki.jenkins-ci.org/display/JENKINS/JavaNCSS+Plugin"" rel=""noreferrer"">JavaNCSS Plugin</a></li>
</ul>

<p>There might be some other option for your language. For example, <a href=""https://wiki.jenkins-ci.org/display/JENKINS/CCCC+Plugin"" rel=""noreferrer"">CCCC</a> will provide required information for C and C++ code:</p>

<p><img src=""https://i.stack.imgur.com/f2GV5.png"" alt=""enter image description here""></p>

<p><strong>Number of lines in a latex document</strong>
I see several options to achieve that:</p>

<ul>
<li>adapt existing solution/plugin</li>
<li>use repository statistics tool (<a href=""http://scm-pepper.sourceforge.net/"" rel=""noreferrer"">Pepper</a>, for example, can do the trick)</li>
<li>use simple shell script to count lines and report it</li>
</ul>

<p><a href=""http://scm-pepper.sourceforge.net/"" rel=""noreferrer"">Pepper</a> will generate something like the following:</p>

<p><img src=""https://i.stack.imgur.com/6sMCC.png"" alt=""enter image description here""></p>

<p>Please check Pepper <a href=""http://scm-pepper.sourceforge.net/gallery/"" rel=""noreferrer"">gallery</a>. There are another tools, for example: <a href=""https://bitbucket.org/mg/hgchart/wiki/Home"" rel=""noreferrer"">hgchart</a></p>

<p><strong>Time between commits</strong></p>

<p>The simplest solution is to let a commit to trigger some trivial job, so Jenkins will provide all information as part of build history (with a timeline, etc).</p>

<p><img src=""https://i.stack.imgur.com/Q5WMF.png"" alt=""enter image description here""></p>

<p>Another solution is to use repository statistics tool once again:</p>

<p><img src=""https://i.stack.imgur.com/foNte.png"" alt=""enter image description here""></p>

<p><strong>Anything that can be output by a script</strong></p>

<p>There are several good plug-ins for that.</p>

<ul>
<li><a href=""https://wiki.jenkins-ci.org/display/JENKINS/Plot+Plugin"" rel=""noreferrer"">Plot plugin</a> can visualize multiple values provided as properties or csv file.</li>
<li><a href=""https://wiki.jenkins-ci.org/display/JENKINS/Measurement+Plots+Plugin"" rel=""noreferrer"">Measurement Plots Plugin</a> scans the output in order to find values to be visualized</li>
</ul>

<p><img src=""https://i.stack.imgur.com/rSqdd.png"" alt=""enter image description here""></p>

<p>Happy continuous integration.</p>",1.0,2013-01-09 15:04:27.247000 UTC,,9.0,[]
How do you remove big files from history in mercurial?,"<p>I have just created a mercurial repo created from a heterogeneous ecosystems of other repos. Before I publish it to my co-workers, I want to clean it as much as possible. To this end, I'd like to entirely remove a few big old files from history (pretend they never existed), so repo will be smaller.</p>

<p>Is this possible with mercurial?</p>",1,2,2012-04-11 09:26:29.073000 UTC,11.0,,34,version-control|mercurial|dvcs,4522,2009-08-27 12:21:50.197000 UTC,2022-03-04 16:32:49.647000 UTC,,49595,2869,185,1996,"<p>Check out the <code>convert</code> extension, particularly the <code>--filemap</code> option.</p>

<p>Enable by adding the following to <code>mercurial.ini</code>:</p>

<pre><code>[extensions]
convert =
</code></pre>

<p>Create a map of files to exclude:</p>

<pre><code>exclude path/to/file1
exclude path/to/file2
</code></pre>

<p>Then convert the repo:</p>

<pre><code>hg convert srcrepo destrepo --filemap &lt;map&gt;
</code></pre>

<p>Note there is a bug in Mercurial 2.1.1 causing an error with the above command:</p>

<pre><code>initializing destination destrepo repository
abort: invalid mode ('r') or filename
</code></pre>

<p>Just add the <code>--splicemap &lt;nonexistent file&gt;</code> option to fix the problem.</p>",10.0,2012-04-11 12:58:54.283000 UTC,2012-04-11 13:05:07.383000 UTC,35.0,[]
"In Mercurial (hg), how do you see a list of files that will be pushed if an ""hg push"" is issued?","<p>We can see all the changesets and the files involved using</p>

<pre><code>hg outgoing -v
</code></pre>

<p>but the filenames are all scattered in the list of changesets.</p>

<p>Is there a way to just see a list of all the files that will go out if <code>hg push</code> is issued?</p>",5,0,2010-06-14 23:20:02.517000 UTC,7.0,2012-03-30 12:09:09.923000 UTC,21,mercurial|push|dvcs,17967,2009-05-09 15:50:29.477000 UTC,2022-03-04 09:41:10.460000 UTC,,137341,1445,39,12817,"<p>First, create a file with this content:</p>

<pre><code>changeset = ""{files}""
file = ""{file}\n""
</code></pre>

<p>Let's say you call it out-style.txt and put it in your home directory.  Then you can give this command:</p>

<pre><code>hg -q outgoing --style ~/out-style.txt | sort -u
</code></pre>",5.0,2010-06-15 00:00:13.840000 UTC,,10.0,[]
