Tool,#Stack Overflow Posts,#Tool-specific Posts,%Stack Overflow Posts,%Tool-specific Posts,#Stack Overflow Samples,#Tool-specific Samples
Amazon SageMaker,2233,528,80.88,19.12,328,223
Azure Machine Learning,1530,1435,51.6,48.4,308,304
ClearML,40,0,100,0,37,0
Comet,10,0,100,0,10,0
DVC,91,315,22.41,77.59,74,174
Databricks,12,154,7.23,92.77,12,111
LakeFS,4,0,100,0,4,0
MLFlow,551,280,66.31,33.69,227,163
Neptune,8,0,100,0,8,0
Pachyderm,7,0,100,0,7,0
Vertex AI,341,297,53.45,46.55,181,168
Weights & Biases,77,583,11.67,88.33,65,232
